[2023-05-10 04:47:29,626] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-05-10 04:47:29,694] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 82 become-leader and 0 become-follower partitions (state.change.logger)
[2023-05-10 04:47:29,697] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 82 partitions (state.change.logger)
[2023-05-10 04:47:29,748] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 82 partitions (state.change.logger)
[2023-05-10 04:47:29,831] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 82 partitions (state.change.logger)
[2023-05-10 04:47:29,856] INFO [Broker id=0] Leader connect-offsets-24 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,870] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,878] INFO [Broker id=0] Leader connect-offsets-9 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,887] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,895] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,904] INFO [Broker id=0] Leader connect-status-1 with topic id Some(tGVawypSRn-n583hdVGY1g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,912] INFO [Broker id=0] Leader connect-offsets-17 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,921] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,929] INFO [Broker id=0] Leader connect-offsets-2 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,938] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,947] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,956] INFO [Broker id=0] Leader connect-offsets-8 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,964] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:29,974] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
